년도,매출액(억원),영업이익(억원),방산업체 영업이익율,제조업 평균 영업이익률,방산업체 가동률,제조업 평균 가동률
2006,54517,2673,4.9,5.3,61.0,81.0
2007,61955,2629,4.2,5.8,59.8,80.3
2008,72351,3625,5.0,5.9,60.3,77.2
2009,87692,5338,6.1,6.1,61.8,74.6
2010,93303,6898,7.4,6.9,59.5,81.2
2011,93095,5323,5.7,5.6,59.4,79.9
2012,93429,4230,4.5,5.1,59.0,78.1
2013,104651,2435,2.3,5.2,58.0,76.2
2014,119883,5352,4.5,4.2,66.8,76.1
2015,142651,4710,3.3,5.1,68.6,74.3
2016,148163,5033,3.4,6.0,68.6,72.6
2017,127611,602,0.5,7.6,69.2,72.6
2018,136493,3252,2.4,7.3,71.2,73.5
2019,144521,4875,3.4,4.4,72.0,73.2
2020,153517,5675,3.7,4.6,72.9,71.3
2021,158801,7229,4.6,6.8,85.1,74.4
