년도,무기체계분류,물자 품목 수,업체 수
2006,화력,175,12
2006,탄약,324,8
2006,기동,137,12
2006,항공유도,432,13
2006,함정,104,8
2006,통신전자,125,15
2006,화생방,34,2
2006,기타,60,15
2007,화력,176,13
2007,탄약,327,8
2007,기동,138,12
2007,항공유도,439,15
2007,함정,120,9
2007,통신전자,127,14
2007,화생방,34,2
2007,기타,62,15
2008,화력,184,13
2008,탄약,331,9
2008,기동,154,12
2008,항공유도,455,15
2008,함정,135,9
2008,통신전자,117,14
2008,화생방,34,3
2008,기타,66,15
2009,화력,187,13
2009,탄약,311,8
2009,기동,164,14
2009,항공유도,486,15
2009,함정,152,9
2009,통신전자,124,14
2009,화생방,35,3
2009,기타,69,15
2010,화력,189,13
2010,탄약,315,8
2010,기동,154,14
2010,항공유도,492,16
2010,함정,159,9
2010,통신전자,129,16
2010,화생방,36,3
2010,기타,69,12
2011,화력,169,13
2011,탄약,292,8
2011,기동,155,14
2011,항공유도,504,17
2011,함정,164,12
2011,통신전자,136,16
2011,화생방,36,3
2011,기타,65,12
2012,화력,131,11
2012,탄약,245,8
2012,기동,118,15
2012,항공유도,432,18
2012,함정,146,12
2012,통신전자,125,16
2012,화생방,26,3
2012,기타,62,13
2013,화력,134,11
2013,탄약,246,8
2013,기동,123,15
2013,항공유도,435,18
2013,함정,148,11
2013,통신전자,134,16
2013,화생방,26,3
2013,기타,63,15
2014,화력,152,11
2014,탄약,239,8
2014,기동,123,14
2014,항공유도,439,17
2014,함정,149,11
2014,통신전자,138,16
2014,화생방,27,3
2014,기타,69,15
2015,화력,135,11
2015,탄약,222,8
2015,기동,118,14
2015,항공유도,453,18
2015,함정,149,11
2015,통신전자,132,18
2015,화생방,26,3
2015,기타,70,13
2016,화력,133,11
2016,탄약,223,8
2016,기동,119,15
2016,항공유도,507,20
2016,함정,152,12
2016,통신전자,141,18
2016,화생방,26,3
2016,기타,63,13
2017,화력,144,12
2017,탄약,224,8
2017,기동,125,13
2017,항공유도,536,20
2017,함정,155,13
2017,통신전자,138,18
2017,화생방,33,3
2017,기타,72,14
2018,화력,142,10
2018,탄약,221,8
2018,기동,126,14
2018,항공유도,579,18
2018,함정,158,11
2018,통신전자,138,16
2018,화생방,33,3
2018,기타,75,11
2019,화력,138,9
2019,탄약,223,8
2019,기동,131,14
2019,항공유도,575,16
2019,함정,151,10
2019,통신전자,136,16
2019,화생방,36,4
2019,기타,81,10
2020,화력,138,10
2020,탄약,224,8
2020,기동,131,14
2020,항공유도,602,16
2020,함정,149,10
2020,통신전자,144,16
2020,화생방,34,4
2020,기타,81,10
2021,화력,136,9
2021,탄약,224,10
2021,기동,129,14
2021,항공유도,610,16
2021,함정,149,8
2021,통신전자,144,16
2021,화생방,34,3
2021,기타,81,9
2022,화력,135,8
2022,탄약,223,10
2022,기동,128,14
2022,항공유도,151,16
2022,함정,480,8
2022,통신전자,155,16
2022,화생방,143,3
2022,기타,33,9
