순서,사업명,사업개요,사업분류,사업유형,추진방법,시작년도_종료년도,총사업예산(천원),당해예산(천원),발주예상시기,담당부서
1,국방표준종합정보 시스템 목록자료 기술표준 XML 개선,‘22. 1월부터 전면 시행되는 신규 나토목록체계에 맞춰 국방표준종합정보시스템의 목록자료 데이터구조와 목록업무 프로세스를 개선하기 위한 사업,계속사업,소프트웨어 개발사업,외주,2020~2021,451000,305684,계약완료,기반전력사업규격목록팀
2,함정정보시스템 고도화,함정정보관리시스템은 ‘08년 시스템구축 및 운영 이후로 현재까지 고도화작업없이 운영 중으로 운영체계(O/S)및 상용 S/W의 업그레이드 및 다양한검색 지원 등을 위한 고도화 사업,계속사업,소프트웨어 개발사업,외주,2020∼2021,2229300,1254320,발주완료,함정계약팀
3,군수지원분석체계 고도화,"글로벌 표준을 지원하는 시스템의 구축, 무기체계 수명주기 간 LSA(군수지원분석)자료 통합 및 최신화 가능한 시스템 구축, 무기체계의 효율적인 운용유지를 위한 과학적 분석도구를 개발하기 위한 고도화 사업",계속사업,소프트웨어 개발사업,외주,2020∼2022,3826000,2498000,계약완료,기반전력사업종합군수지원팀
4,온-나라 문서 2.0시스템 도입,클라우드 기반의 차세대 문서결제시스템을 구축하는 사업,계속사업,정보시스템개발서비스,외주,2020~2021,1274200,1274200,계약완료,정보화기획담당관
5,한국형 비용분석 전산모델 유지관리 2차,한국형 비용분석 전산모델에 대한 유지관리 ,계속사업,시스템 유지보수 사업,외주,2019~2021,243200,60800,계약완료,선행연구과
6,함정정보시스템 유지관리,’08년 구축되어 운용중인 함정정보시스템에 대한 유지관리,계속사업,시스템 유지보수 사업,외주,2020∼2021,500563,250281,계약완료,함정계약팀
7,보안관제 용역,사이버침해 모니터링 및 대응,신규사업,시스템 유지보수 사업,외주,2021~2022,1476000,738000,계약완료,정보화기획담당관
8,‘21-’22 정보시스템 통합유지보수,"방위사업청이 추진하는 계약, 사업관리 등의 운용시스템에 대한 유지보수 및 기능개선",신규사업,운용유지보수,외주,2021~2022,11525540,5474179,계약완료,정보화기획담당관
9,방위산업정보시스템 구축,"방위산업 실태조사를 통해 취득한통계정보 및 관련 자료를 방산업체등 유관기관에 공개하고, 자료를 활용하기 위한 방위산업 정보시스템 구축",신규사업,정보시스템 개발·구축 사업,외주,2021~2027,2249000,385000,4월,방산정책과
10,통합원가시스템 고도화 ISP수립,통합원가시스템 고도화를 위한 정보화전략계획(ISP) 수립,신규사업,소프트웨어 개발사업,외주,2021~2021,151000,151000,2월,원가관리과
11,통합원가시스템 고도화,"’15년 시스템 구축 이후 운영 중인 통합원가시스템에 법·규정 개정사항, 사용자 요구사항 및 AI(인공지능) 등을 반영한 시스템 고도화 추진",신규사업,소프트웨어 개발사업,외주,2021~2022,4015000,575000,8월,원가관리과
12,방산수출입지원체계 추가개발 ISP수립,군용전략물자 전문판정 및 수출허가 업무를 민원인이방산수출입지원시스템(D4B)으로신청하도록 창구 일원화를 위한 ISP 수립,신규사업,소프트웨어 개발사업,외주,2021~2021,100000,100000,2~3월,기술심사과
13,방위사업 감독정보시스템 구축,방위사업 감독자료를 통합·관리·검색할 수 있는 시스템 구축,신규사업,소프트웨어 개발사업,외주,2020,197000,197000,5월,감독총괄담당관
14,2021년 정보자원 교체 및 개선사업,"서버, 통신장비 등 내용연수(6년 이상) 경과한 노후장비 교체, 국방망 통합 스토리지 용량 증설 등",신규사업,구매사업,외주,2021,1787680,1787680,6월,정보화기획담당관
