시도,2020,2021,2022,2023
서울특별시,121444.0,1139886.0,56848698.0,11035080.0
부산광역시,37984.0,412218.0,10872990.0,2179478.0
대구광역시,3734.0,46414.0,3383068.0,752068.0
인천광역시,15602.0,30646.0,2491380.0,495214.0
광주광역시,5678.0,67760.0,3299282.0,611064.0
대전광역시,2162.0,13890.0,1682052.0,338894.0
울산광역시,1690.0,22810.0,1672646.0,329404.0
세종특별자치시,1344.0,12400.0,1222618.0,239894.0
경기도,298.0,3986.0,456108.0,86434.0
강원특별자치도,28900.0,343764.0,15361448.0,2799482.0
충청북도,2414.0,22396.0,1694858.0,292004.0
충청남도,2326.0,20670.0,1801648.0,326304.0
전라북도,3306.0,32882.0,2311316.0,434092.0
전라남도,1674.0,17462.0,1926494.0,390266.0
경상북도,1120.0,11036.0,1882874.0,389936.0
경상남도,4848.0,25780.0,2622782.0,509004.0
제주특별자치도,2650.0,38702.0,3424594.0,686036.0
